shot_id,x,y,outcome,body_part,set_piece,dist,ang,gol
6629878_9282,40.281,4.868,S,L,,13.152999087660579,0.1791122325447556,False
6631191_20398,20.974,-12.711,O,R,,33.99203137501494,0.18053628286320136,False
6630642_22485,16.634,-13.58,G,R,,38.350832533336224,0.16902470884747806,True
6629751_36063,15.746,14.719,O,L,,39.5917349581955,0.3638445017187837,False
6630005_41923,4.834,21.644,O,R,,52.34988340006117,0.15360742178473935,False
6630696_55734,45.54,-4.163,B,HE,,8.110004254006284,0.14999386490247987,False
6630994_81112,36.926,-12.439,S,R,,19.931838776189213,0.1529056503765367,False
6631078_84442,21.388,-14.537,C,R,,34.340659763609665,0.16587444877908822,False
6631138_87364,26.941,-1.308,G,R,,25.59244703032518,0.24161594700396216,True
6630004_97301,38.11,7.573,B,HE,,16.261070967190324,0.18975627130416065,False
6630017_97336,47.784,3.348,L,L,,5.783576747999461,0.15098037643696519,False
6630037_97586,27.565,1.899,S,HE,,25.00720748104434,0.2503041984747491,False
6630303_101017,35.185,-16.119,O,L,,23.656529458058717,0.14311157909297562,False
6630412_103151,33.065,12.462,S,R,,23.087240393775954,0.21287953656888056,False
6630537_104943,36.124,4.409,O,L,,16.959146706128816,0.19867215798782772,False
6630560_118684,24.286,-12.359,B,L,,30.802186237343605,0.17997625969902456,False
6630595_118797,33.434,-3.159,S,R,,19.325931723981643,0.1967755645410324,False
6630871_122360,33.829,-10.781,B,L,,21.560060343143753,0.1666599504472885,False
6630087_135796,40.146,1.422,O,HE,,12.435569950750146,0.17662236556089242,False
6630155_137064,14.556,3.263,S,L,,38.08404265568455,0.4366017707796485,False
6630162_137118,25.68,-9.253,S,HE,,28.371295511484846,0.1985813448425878,False
6630411_141301,33.377,-9.213,O,L,,21.226598832596803,0.17431613683199748,False
6630519_143129,47.833,-13.978,L,R,,14.73653191900998,0.1270251824709053,False
6629644_145107,48.417,-5.112,G,RB,,6.542433262938185,0.14089550291738356,True
6629794_148731,3.853,-5.48,O,R,,48.95468321825809,0.1565496913879106,False
6629845_150105,34.046,14.681,S,L,,23.581388360315003,0.20258396456839406,False
6629994_154340,44.475,8.522,G,L,,11.705772464899528,0.16300742382479427,True
6630269_163216,43.094,2.371,O,R,,9.700230770450771,0.16610542685112348,False
6630525_169313,37.285,-10.816,B,L,,18.66767476146936,0.15744833573383218,False
6630907_177725,37.48,-4.711,B,R,,15.741471373413608,0.17524372160696405,False
6630969_178866,42.861,-1.108,O,HE,,9.70247313832922,0.16296872133425164,False
6631834_34467,13.244,12.521,O,R,,41.204477632898104,0.4465889678739009,False
6632880_55442,41.708,1.408,B,HE,,10.883461214154256,0.17038096039221226,False
6632212_66995,38.52,-8.09,G,L,,16.15204321440479,0.16237192299939593,True
6632132_99402,34.005,1.236,S,L,,18.536254233258667,0.20563708132613068,False
6632732_111452,43.634,-11.131,G,R,,14.230429262675107,0.14136310460977114,True
6632851_127904,33.963,10.619,O,L,,21.363134835505765,0.2103554863931547,False
6633469_143879,37.199,13.784,O,L,,20.5941558943308,0.1887383247017818,False
6631887_146479,20.402,9.444,C,L,,33.45849279331034,0.34107013215882814,False
6632295_153614,24.097,6.767,B,R,,29.19799133502166,0.29476757835523015,False
6632352_154624,33.231,3.272,O,L,,19.544829111557867,0.21373995309855154,False
6633046_166417,43.341,-10.604,O,R,,14.011855587323186,0.14323847666704392,False
6633120_168099,2.164,-2.484,O,R,,50.39725341722503,0.15587085245036636,False
6633281_175265,1.904,-7.648,S,L,,51.17076430932022,0.06114173261825568,False
6633296_176472,34.726,-7.386,O,R,,19.247547168405642,0.1768702860718932,False
6633331_178050,22.802,-6.486,B,R,,30.39801638265234,0.23072457600446628,False
6633344_178399,36.129,-5.928,B,L,,17.411226981462278,0.1767305719155224,False
6633349_178538,38.501,5.641,S,L,,15.092808949960245,0.18753420262906115,False
6633353_178573,39.138,-1.32,O,L,,13.42704152075207,0.17648394413375884,False
6633482_183230,21.931,1.897,S,R,,30.627803871645774,0.3047435790035829,False
6634047_11423,42.68,-1.278,O,HE,,9.902811923893132,0.1633513693688047,False
6634911_23681,48.659,-11.121,B,R,,11.765624590305437,0.13079055510647955,False
6635142_27408,22.652,10.129,S,R,,31.51983097987678,0.3081203561422152,False
6633979_34584,34.112,-5.67,S,L,,19.24233468163362,0.18526146374095076,False
6634437_41920,27.306,-4.268,O,L,,25.55295403666668,0.2233715443810036,False
6634509_44096,29.439,-14.32,S,R,,27.145388577067745,0.16004445093984812,False
6634787_48931,41.016,13.938,B,R,,18.05962624197965,0.1722155823292605,False
6635151_56355,0.674,3.832,O,L,,51.96747540529557,0.3726616122307943,False
6633990_63851,29.795,12.787,B,R,,26.05809651528676,0.23334716511610307,False
6634221_68376,43.938,4.296,S,L,,9.579324610848094,0.16431793829153937,False
6634250_69471,45.516,-6.433,C,HE,,9.495248548616303,0.1463148719105445,False
6634255_69539,43.35,1.992,F,L,,9.364324001229345,0.16483599448078076,False
6634372_72434,40.654,-1.482,S,R,,11.938343268644939,0.17032712624853286,False
6634381_72460,42.771,-1.932,B,L,,9.918974997448073,0.16205996862391725,False
6634398_72502,46.95,-8.897,L,R,,10.486138898565095,0.13840138130953453,False
6634909_83822,15.754,2.073,G,L,,36.80442697556912,0.3961382036281951,True
6635011_87305,42.327,-10.808,B,R,,14.84260061444759,0.14510709126111918,False
6634062_96024,32.038,1.783,O,R,,20.539535851620407,0.21831632298588888,False
6634912_110773,39.826,12.221,B,R,,17.606337410148654,0.1791171777435331,False
6634141_122999,41.323,5.38,O,R,,12.404423767350098,0.1749446058349478,False
6634387_127409,10.093,-1.632,O,L,,42.43839149873614,0.38560173189008207,False
6634873_137880,35.772,-0.564,O,HE,,16.737505190439826,0.19272781460582467,False
6635178_143239,38.886,10.78,G,R,,17.3651776840895,0.18463678205570155,True
6634599_155876,39.012,6.148,O,R,,14.823091715293405,0.18531450745118525,False
6635271_172276,40.556,13.848,G,R,,18.28732457195421,0.17415073328685257,True
